time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.143996166,0.133565918529,11.676727223,0.0605581328489,0.0609126974551,0.0,-0.385325703775,0.358220915925,2.37664080118,0.0514164915509,0.0330319928495,0.0,478.0544974790752,476.28202757325573,477.49929537630953,475.74772198896505
1.3800000000000008,-0.168352865365,0.156286598732,11.8217547943,0.0633348003839,0.0625574068001,0.0,-0.426739570567,0.399413798088,2.45739742896,0.0332557395526,0.0127430788989,0.0,437.4958077752668,435.80347113402485,438.5400097415442,437.0302038194109
1.4400000000000008,-0.195051569501,0.181355435974,11.9688875056,0.0649869607854,0.0630242940741,0.0,-0.463276931749,0.436370548821,2.44702356689,0.0125131111459,-0.00466842893112,0.0,408.8092236063785,407.25476046512745,407.9049657850568,406.0486508716316
1.5000000000000009,-0.224082591173,0.208804370144,12.1175240022,0.0656834155472,0.06257298327,0.0,-0.504385011414,0.47865008139,2.5073800043,0.00973208809981,-0.0139461092218,0.0,430.7720228469401,429.9868916557146,431.9239505718133,431.68923178537887
1.560000000000001,-0.255885954148,0.239134119257,12.2748183582,0.0663226977154,0.0613076147885,0.0,-0.555579615289,0.53237578851,2.73522992647,0.0124388829672,-0.0418738209112,0.0,483.4731707432757,481.36438767785023,482.851465162529,483.05548535747937
1.620000000000001,-0.290409146352,0.272360281137,12.4406384492,0.0667957335439,0.058613927668,0.0,-0.594942658587,0.575208836227,2.7919679262,-0.00328715781038,-0.0517469911692,0.0,431.92150096919073,431.0867695426919,431.9887929886753,430.66058592464685
1.680000000000001,-0.327418802175,0.308364833189,12.6129095764,0.0665854482384,0.0557606830642,0.0,-0.638367373815,0.624887804883,2.95001266579,-0.00394356846663,-0.040268709248,0.0,463.4610965960163,464.3610768086001,462.8955208195982,462.8439320793129
1.740000000000001,-0.366862430739,0.347210133664,12.7926574508,0.0661174990737,0.0533152054062,0.0,-0.676168776392,0.669898548825,3.04134706139,-0.0169119859169,-0.0417545952231,0.0,443.52024702268943,443.39731879456184,444.3371998963933,443.2728657220011
1.8000000000000012,-0.408482290537,0.388688920311,12.9770712096,0.0655795960287,0.0510380110102,0.0,-0.71092749101,0.712636777137,3.10561188019,0.00346773243602,-0.0312685781486,0.0,434.9211568028186,435.79779442520237,434.8216264493502,436.52570366446577
1.8600000000000012,-0.452318320339,0.432945744368,13.1687192388,0.0653999544072,0.0491678392632,0.0,-0.750043121418,0.762557199683,3.2821568586,-0.020843735027,-0.0309721990274,0.0,470.74776624431206,470.77042341669465,471.3262017155838,469.4435384577402
1.9200000000000013,-0.498361818812,0.480055035839,13.3689439599,0.064815399411,0.0478548431583,0.0,-0.784572324737,0.807633603385,3.39168121239,0.00631353961851,-0.00807583927215,0.0,450.80351631045227,452.6498288716449,449.6573356904456,451.8521278818257
1.9800000000000013,-0.546439307507,0.529837574918,13.5753907506,0.0652358820628,0.0477079187815,0.0,-0.817972859144,0.85179613152,3.48956524208,0.0083621237931,0.00692970356813,0.0,447.48179132394057,448.70173341438596,448.45463876270196,448.62090539640656
